"title","year","venue/arXiv","link","cluster","contribution","relevance score","threat level","why it does or does not subsume this project"
"Scene Representation Networks: Continuous 3D-Structure-Aware Neural Scene Representations","2019","NeurIPS","https://arxiv.org/abs/1906.01618","neural scene representation","Learns continuous 3D scene representations from observations.","4","medium","Close in representation spirit, but lacks sparse proxy selection and repair diagnostic."
"GRAF: Generative Radiance Fields for 3D-Aware Image Synthesis","2020","NeurIPS","https://arxiv.org/abs/2007.02442","3D generative models","Combines radiance fields with generative image modeling.","3","low","Generates 3D-aware images; not a candidate selection study."
"GIRAFFE: Representing Scenes as Compositional Generative Neural Feature Fields","2021","CVPR","https://arxiv.org/abs/2011.12100","3D generative models","Compositional 3D-aware scene generation.","3","low","Related to scene candidates but no candidate-pool inference pathology."
"pi-GAN: Periodic Implicit Generative Adversarial Networks for 3D-Aware Image Synthesis","2021","CVPR","https://arxiv.org/abs/2012.00926","3D generative models","Uses sinusoidal implicit fields for 3D-aware GANs.","2","low","Focuses on generative synthesis, not proxy scoring."
"EG3D: Efficient Geometry-aware 3D Generative Adversarial Networks","2022","CVPR","https://arxiv.org/abs/2112.07945","3D generative models","Tri-plane 3D-aware GAN with efficient rendering.","3","low","Relevant as a candidate generator family; no sparse-view candidate-pool analysis."
"pixelNeRF: Neural Radiance Fields from One or Few Images","2021","CVPR","https://arxiv.org/abs/2012.02190","few-view NeRF","Conditions NeRF on sparse images for view synthesis.","5","medium","Few-view ambiguity is central, but it optimizes/predicts a single field rather than studying selection over many samples."
"IBRNet: Learning Multi-View Image-Based Rendering","2021","CVPR","https://arxiv.org/abs/2102.13090","few-view rendering","Generalizable image-based neural rendering from multi-view inputs.","4","medium","Sparse-view setting is close; does not analyze candidate-pool proxy selection."
"RegNeRF: Regularizing Neural Radiance Fields for View Synthesis from Sparse Inputs","2022","CVPR","https://arxiv.org/abs/2112.00724","few-view NeRF","Adds regularization for sparse-input NeRF.","5","high","Threat because it uses geometric regularization for sparse views; different because our contribution targets inference-time reranking over candidate worlds."
"DietNeRF: Few-shot NeRF via Semantic Consistency","2021","ICCV","https://arxiv.org/abs/2104.00677","few-view NeRF","Uses CLIP-like semantic consistency for few-shot NeRF.","4","medium","Addresses sparse-view overfitting, but not candidate-pool selection pressure."
"SparseNeRF: Distilling Depth Ranking for Few-shot Novel View Synthesis","2023","ICCV","https://arxiv.org/abs/2303.16196","few-view NeRF","Uses depth ranking priors for sparse NeRF training.","4","medium","Close on sparse geometry regularization; no analysis of N-dependent selection amplification."
"NoPe-NeRF: Optimising Neural Radiance Field with No Pose Prior","2023","CVPR","https://arxiv.org/abs/2212.07388","NeRF optimization","Jointly estimates poses and radiance fields.","2","low","Deals with pose ambiguity, not sparse proxy view impostors."
"BARF: Bundle-Adjusting Neural Radiance Fields","2021","ICCV","https://arxiv.org/abs/2104.06405","NeRF optimization","Joint pose and NeRF optimization through coarse-to-fine encoding.","2","low","Optimization ambiguity is related but not candidate-pool candidate selection."
"Nerfies: Deformable Neural Radiance Fields","2021","ICCV","https://arxiv.org/abs/2011.12948","dynamic neural rendering","Models non-rigid scenes with deformation fields.","3","low","Dynamic representation; no sparse-view selection diagnostic."
"D-NeRF: Neural Radiance Fields for Dynamic Scenes","2021","CVPR Workshops","https://arxiv.org/abs/2011.13961","dynamic neural rendering","Extends NeRF with time-conditioned deformation.","3","low","Dynamic future candidates are relevant; failure mechanism is not studied."
"Neural Scene Flow Fields for Space-Time View Synthesis of Dynamic Scenes","2021","CVPR","https://arxiv.org/abs/2011.13084","dynamic neural rendering","Learns scene flow and radiance for dynamic view synthesis.","3","low","Predictive geometry element is close; selection over sampled futures is absent."
"3D Gaussian Splatting for Real-Time Radiance Field Rendering","2023","SIGGRAPH","https://repo-sam.inria.fr/fungraph/3d-gaussian-splatting/","Gaussian splatting","Introduced real-time explicit Gaussian radiance representation.","5","medium","Foundational 3DGS representation; does not analyze candidate-pool proxy-view exploitation."
"Deformable 3D Gaussians for High-Fidelity Monocular Dynamic Scene Reconstruction","2024","CVPR","https://arxiv.org/abs/2309.13101","Gaussian splatting","Dynamic Gaussian representation from monocular video.","4","medium","Close architecture family; still a reconstruction method, not an inference-time selection study."
"4D Gaussian Splatting for Real-Time Dynamic Scene Rendering","2024","CVPR","https://arxiv.org/abs/2310.08528","Gaussian splatting","Extends 3DGS to dynamic 4D scenes.","4","medium","Dynamic world representation is relevant, but no candidate-pool reranking claim."
"SuGaR: Surface-Aligned Gaussian Splatting for Efficient 3D Mesh Reconstruction","2024","CVPR","https://arxiv.org/abs/2311.12775","Gaussian splatting","Aligns Gaussians with surfaces for mesh extraction.","3","medium","Surface regularization is adjacent to our repair; no N-dependent proxy failure."
"Scaffold-GS: Structured 3D Gaussians for View-Adaptive Rendering","2024","CVPR","https://arxiv.org/abs/2312.00109","Gaussian splatting","Anchor-based structured Gaussians for efficient rendering.","2","low","Representation efficiency, not selection."
"Mip-Splatting: Alias-free 3D Gaussian Splatting","2024","CVPR","https://arxiv.org/abs/2311.16493","Gaussian splatting","Anti-aliasing for Gaussian splatting.","2","low","Rendering artifact fix; no hidden geometry selection."
"2D Gaussian Splatting for Geometrically Accurate Radiance Fields","2024","SIGGRAPH","https://arxiv.org/abs/2403.17888","Gaussian splatting","Uses 2D surfels for better geometry in splatting.","4","medium","Threat because it targets geometry accuracy; orthogonal to candidate-pool proxy-score amplification."
"SplaTAM: Splat, Track and Map 3D Gaussians for Dense RGB-D SLAM","2024","CVPR","https://arxiv.org/abs/2312.02126","Gaussian SLAM","Uses 3D Gaussians for dense SLAM.","3","low","Scene memory representation; no candidate reranking pathology."
"Gaussian Splatting SLAM","2024","CVPR Workshops/arXiv","https://arxiv.org/abs/2312.06741","Gaussian SLAM","Applies 3DGS to online SLAM.","3","low","Online scene representation but no candidate-pool inference."
"RTG-SLAM: Real-time 3D Reconstruction at Scale using Gaussian Splatting","2024","arXiv","https://arxiv.org/abs/2404.19706","Gaussian SLAM","Real-time Gaussian-splatting SLAM.","2","low","Scalable mapping system, not a selection diagnostic."
"Generative Gaussian Splatting: Generating 3D Scenes with Video Diffusion Priors","2025","ICCV","https://openaccess.thecvf.com/content/ICCV2025/html/Schwarz_Generative_Gaussian_Splatting_Generating_3D_Scenes_with_Video_Diffusion_Priors_ICCV_2025_paper.html","generative 3DGS","Generates Gaussian scenes from video diffusion priors.","5","high","Very close as a candidate-producing scene generator; does not isolate candidate-pool proxy reranking failures."
"GaussRender: Learning 3D Occupancy with Gaussian Rendering","2025","ICCV","https://openaccess.thecvf.com/content/ICCV2025/html/Chambon_GaussRender_Learning_3D_Occupancy_with_Gaussian_Rendering_ICCV_2025_paper.html","occupancy and rendering","Uses Gaussian rendering losses for occupancy prediction.","4","medium","Projective consistency is adjacent; our novelty is selection pressure under sparse scoring views."
"Occupancy Networks: Learning 3D Reconstruction in Function Space","2019","CVPR","https://arxiv.org/abs/1812.03828","implicit geometry","Learns continuous occupancy functions for 3D reconstruction.","5","medium","Foundational occupancy representation; no candidate-pool sampling or proxy exploitation."
"Convolutional Occupancy Networks","2020","ECCV","https://arxiv.org/abs/2003.04618","implicit geometry","Scales occupancy fields to larger scenes with convolutional encoders.","5","medium","Close to voxel/occupancy scene world models, but not selection-specific."
"DeepSDF: Learning Continuous Signed Distance Functions for Shape Representation","2019","CVPR","https://arxiv.org/abs/1901.05103","implicit geometry","Learns continuous SDF shape priors.","4","medium","Shape prior could be used as repair; no candidate-pool proxy failure."
"IM-NET: Learning Implicit Fields for Generative Shape Modeling","2019","CVPR","https://arxiv.org/abs/1812.02822","implicit geometry","Implicit fields for generative shape modeling.","3","low","Generative shape representation without sparse-view candidate selection."
"Local Deep Implicit Functions for 3D Shape","2020","CVPR","https://arxiv.org/abs/1912.06126","implicit geometry","Local implicit functions for detailed shape reconstruction.","3","low","Representation improvement; no reranking analysis."
"Deep Local Shapes: Learning Local SDF Priors for Detailed 3D Reconstruction","2020","ECCV","https://arxiv.org/abs/2003.10983","implicit geometry","Local SDF priors for reconstruction.","3","low","Could strengthen geometry priors, but does not subsume our mechanism."
"Neural Sparse Voxel Fields","2020","NeurIPS","https://arxiv.org/abs/2007.11571","voxel neural rendering","Sparse voxel fields for efficient neural rendering.","3","low","Voxel representation related; selection issue absent."
"NeuralRecon: Real-Time Coherent 3D Reconstruction from Monocular Video","2021","CVPR","https://arxiv.org/abs/2104.00681","3D reconstruction","Recurrent volumetric fusion for monocular 3D reconstruction.","4","medium","Scene memory and hidden geometry relevant; no candidate-pool inference."
"AtlasNet: A Papier-Mache Approach to Learning 3D Surface Generation","2018","CVPR","https://arxiv.org/abs/1802.05384","3D shape generation","Learns surface charts for 3D generation.","2","low","Surface generation only; no sparse proxy selection."
"PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation","2017","CVPR","https://arxiv.org/abs/1612.00593","point clouds","Foundational point-cloud network.","3","low","Representation family, but no world-model candidate-pool behavior."
"PointNet++: Deep Hierarchical Feature Learning on Point Sets","2017","NeurIPS","https://arxiv.org/abs/1706.02413","point clouds","Hierarchical local point features.","3","low","Could parameterize candidate worlds, not a selection study."
"Point-BERT: Pre-training 3D Point Cloud Transformers with Masked Point Modeling","2022","CVPR","https://arxiv.org/abs/2111.14819","point clouds","Masked pretraining for point-cloud transformers.","2","low","Representation learning, not proxy reranking."
"Point-MAE: Masked Autoencoders for Point Cloud Self-supervised Learning","2022","ECCV","https://arxiv.org/abs/2203.06604","point clouds","MAE-style point-cloud pretraining.","2","low","No candidate-pool sparse scoring."
"PointNeXt: Revisiting PointNet++ with Improved Training and Scaling Strategies","2022","NeurIPS","https://arxiv.org/abs/2206.04670","point clouds","Improved point-cloud network training.","1","low","Architectural baseline only."
"Occupancy Flow: 4D Reconstruction by Learning Particle Dynamics","2019","ICCV","https://arxiv.org/abs/1812.03828","dynamic occupancy","Predicts time-varying occupancy through flow.","4","medium","Dynamic occupancy is close, but candidate selection under sparse proxy is not considered."
"FIERY: Future Instance Prediction in Bird's-Eye View from Surround Monocular Cameras","2021","ICCV","https://arxiv.org/abs/2104.10490","autonomous driving occupancy","Predicts future BEV semantics from cameras.","4","medium","World prediction setting; output is BEV rather than 3D scene candidate reranking."
"ST-P3: End-to-end Vision-based Autonomous Driving via Spatial-Temporal Feature Learning","2022","ECCV","https://arxiv.org/abs/2207.07601","autonomous driving world models","Predicts occupancy and plans in BEV.","4","medium","Planning/world-model relevance, but not sparse-view candidate-pool in 3D."
"BEVFormer: Learning Bird's-Eye-View Representation from Multi-Camera Images","2022","ECCV","https://arxiv.org/abs/2203.17270","autonomous driving occupancy","Transformer BEV representation from cameras.","3","low","Perception representation; no N-dependent candidate selection."
"BEVDet: High-performance Multi-camera 3D Object Detection in Bird-Eye-View","2022","arXiv","https://arxiv.org/abs/2112.11790","autonomous driving occupancy","Camera-only BEV detection pipeline.","2","low","Perception pipeline; not a world-model selection result."
"UniAD: Planning-oriented Autonomous Driving","2023","CVPR","https://arxiv.org/abs/2212.10156","autonomous driving world models","Unifies perception, prediction, and planning.","4","medium","Close motivation for choosing scene futures, but no sparse-view candidate-pool diagnostic."
"OccFormer: Dual-path Transformer for Vision-based 3D Semantic Occupancy Prediction","2023","ICCV","https://arxiv.org/abs/2304.05316","3D occupancy prediction","Transformer for 3D semantic occupancy.","4","medium","Direct 3D occupancy family; no selection-over-samples study."
"SurroundOcc: Multi-camera 3D Occupancy Prediction for Autonomous Driving","2023","ICCV","https://arxiv.org/abs/2303.09551","3D occupancy prediction","Multi-camera occupancy prediction.","4","medium","Sparse camera geometry is relevant; no candidate-pool inference."
"TPVFormer: Tri-perspective View for Vision-based 3D Semantic Occupancy Prediction","2023","CVPR","https://arxiv.org/abs/2302.07817","3D occupancy prediction","Tri-plane view representation for occupancy.","4","medium","Representation is relevant; no proxy-score exploitation."
"VoxFormer: Sparse Voxel Transformer for Camera-based 3D Semantic Scene Completion","2023","CVPR","https://arxiv.org/abs/2302.12251","3D occupancy prediction","Sparse-to-dense voxel completion from images.","5","high","Hostile prior because it directly addresses hidden occupancy completion; it does not analyze candidate-pool reranking pressure."
"OpenOccupancy: A Large Scale Benchmark for Surrounding Semantic Occupancy Perception","2023","ICCV","https://arxiv.org/abs/2303.03991","3D occupancy benchmark","Benchmark and dataset for semantic occupancy.","3","medium","Evaluation resource; does not subsume our mechanism."
"OccWorld: Learning a 3D Occupancy World Model for Autonomous Driving","2024","arXiv","https://arxiv.org/abs/2311.16038","3D occupancy world models","Predicts future 3D occupancy as a world model.","5","high","Closest world-model family; our work differs by isolating candidate-pool proxy selection and an uncertainty reranker."
"DriveWorld: 4D Pre-trained Scene Understanding via World Models for Autonomous Driving","2024","CVPR","https://arxiv.org/abs/2405.04390","3D/4D world models","Pretrains driving scene representations with world-model objectives.","4","medium","World-model framing is close, but no candidate-level candidate-pool pathology."
"GAIA-1: A Generative World Model for Autonomous Driving","2023","arXiv","https://arxiv.org/abs/2309.17080","driving world models","Generative video world model for driving.","4","medium","Generative candidate worlds are relevant; focuses on video generation, not 3D proxy geometry selection."
"DriveDreamer: Towards Real-world-driven World Models for Autonomous Driving","2023","arXiv","https://arxiv.org/abs/2309.09777","driving world models","Video diffusion world model for driving scenarios.","4","medium","Generative planning context; no explicit 3D hidden-geometry candidate-pool study."
"DriveDreamer-2: LLM-Enhanced World Models for Diverse Driving Video Generation","2024","arXiv","https://arxiv.org/abs/2403.06845","driving world models","Text-guided driving world generation.","3","low","Diversity generation, not candidate selection failure."
"VISTA: A Generalizable Driving World Model with High Fidelity and Versatile Controllability","2024","arXiv","https://arxiv.org/abs/2405.17398","driving world models","Controllable driving world model.","4","medium","Candidate rollouts are plausible; no sparse 3D proxy reranking."
"UniSim: A Neural Closed-loop Sensor Simulator","2023","CVPR","https://waabi.ai/unisim/","simulation world models","Neural closed-loop simulator for autonomy.","3","medium","World-model use case; no isolated candidate-pool selection result."
"World Models","2018","arXiv","https://arxiv.org/abs/1803.10122","latent world models","Learns compressed latent dynamics for control.","3","low","General world-model foundation; not 3D scene representation."
"PlaNet: Learning Latent Dynamics for Planning from Pixels","2019","ICML","https://arxiv.org/abs/1811.04551","latent world models","Latent dynamics planning from image observations.","3","low","Planning with learned dynamics; no 3D sparse proxy geometry."
"Dreamer: Learning Latent Dynamics for Planning from Pixels","2020","ICLR","https://arxiv.org/abs/1912.01603","latent world models","Actor-critic in learned latent dynamics.","3","low","World-model planning, not scene-representation candidate-pool."
"DreamerV2: Mastering Atari with Discrete World Models","2021","ICLR","https://arxiv.org/abs/2010.02193","latent world models","Discrete latent world models for control.","2","low","No 3D geometry or sparse view scoring."
"DreamerV3: Mastering Diverse Domains through World Models","2023","arXiv","https://arxiv.org/abs/2301.04104","latent world models","Robust general world model algorithm.","2","low","General latent dynamics; not geometry-specific."
"MuZero: Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model","2020","Nature","https://www.nature.com/articles/s41586-020-03051-4","planning with models","Search over learned latent dynamics without reconstruction.","2","low","Search over candidates is conceptually related, but no sparse 3D proxy scoring."
"TD-MPC: Temporal Difference Learning for Model Predictive Control","2022","ICML","https://arxiv.org/abs/2203.04955","planning with models","Latent MPC with TD learning.","2","low","Candidate selection in control; no 3D scene ambiguity."
"TD-MPC2: Scalable, Robust World Models for Continuous Control","2024","ICLR","https://arxiv.org/abs/2310.16828","planning with models","Scalable latent world model control.","2","low","General MPC selection; no neural scene representation."
"PETS: Deep Reinforcement Learning in a Handful of Trials using Probabilistic Dynamics Models","2018","NeurIPS","https://arxiv.org/abs/1805.12114","planning with models","Ensemble probabilistic dynamics with trajectory sampling.","3","medium","Best-of-sampled rollouts are relevant, but domain is low-dimensional control rather than 3D scene geometry."
"MBPO: Model-Based Policy Optimization","2019","NeurIPS","https://arxiv.org/abs/1906.08253","planning with models","Short model rollouts for policy optimization.","2","low","Does not study proxy-view exploitation."
"IRIS: Transformers are Sample-efficient World Models","2022","ICLR","https://arxiv.org/abs/2209.00588","latent world models","Transformer world model for Atari.","2","low","No 3D scene geometry."
"Genie: Generative Interactive Environments","2024","ICML","https://arxiv.org/abs/2402.15391","generative world models","Learns playable environments from video.","3","medium","Generative candidate rollouts; no 3D sparse-view scoring."
"Video PreTraining (VPT): Learning to Act by Watching Unlabeled Online Videos","2022","NeurIPS","https://arxiv.org/abs/2206.11795","video world learning","Learns policies from video pretraining.","1","low","Not a scene representation or candidate-pool work."
"MCVD: Masked Conditional Video Diffusion for Prediction, Generation, and Interpolation","2022","NeurIPS","https://arxiv.org/abs/2205.09853","video generation","Diffusion video prediction and generation.","2","low","Candidate generation family; no 3D proxy geometry."
"Video Diffusion Models","2022","NeurIPS","https://arxiv.org/abs/2204.03458","video generation","Diffusion models for video generation.","2","low","Potential generator, but no 3D scene consistency selection."
"Phenaki: Variable Length Video Generation from Open Domain Textual Descriptions","2022","ICLR","https://arxiv.org/abs/2210.02399","video generation","Text-to-video generation over long horizons.","1","low","Not 3D or candidate-pool diagnostics."
"Neural Scene Graphs for Dynamic Scenes","2021","CVPR","https://arxiv.org/abs/2011.10379","dynamic scene graphs","Compositional dynamic scene representations.","4","medium","Scene-structured world model; no proxy-score selection."
"EmerNeRF: Emergent Spatial-Temporal Scene Decomposition via Self-Supervision","2023","arXiv","https://arxiv.org/abs/2311.02077","dynamic neural rendering","Self-supervised dynamic scene decomposition for driving.","4","medium","Close neural scene-world setting; no candidate-pool reranking."
"Panoptic Neural Fields: A Semantic Object-Aware Neural Scene Representation","2022","CVPR","https://arxiv.org/abs/2205.04334","semantic neural fields","Adds panoptic semantics to neural fields.","3","low","Scene representation only."
"Semantic-NeRF: Learning a Generalizable Semantic Field with Neural Radiance Fields","2021","ICCV","https://arxiv.org/abs/2103.13150","semantic neural fields","Joint semantic and radiance fields.","3","low","Not candidate selection."
"ObjectSDF: Object-Compositional Neural Implicit Surfaces","2023","CVPR","https://arxiv.org/abs/2211.13386","object-centric neural fields","Object-compositional implicit scene surfaces.","3","medium","Object priors may repair geometry; no N-dependent failure."
"Diverse Beam Search: Decoding Diverse Solutions from Neural Sequence Models","2016","arXiv","https://arxiv.org/abs/1610.02424","selection and decoding","Promotes diversity in beam search outputs.","2","low","Selection literature; not 3D geometry or proxy-view scoring."
"Minimum Bayes Risk Decoding for Statistical Machine Translation","2004","HLT-NAACL","https://aclanthology.org/N04-1022/","selection and decoding","Selects outputs under expected utility.","2","low","General reranking principle; no neural scene world model."
"Multiple Choice Learning: Learning to Produce Multiple Structured Outputs","2012","NeurIPS","https://papers.nips.cc/paper_files/paper/2012/hash/cd89fef7ffdd490db800357f47722b20-Abstract.html","multi-hypothesis prediction","Trains models to emit diverse hypotheses.","3","medium","Threat as multi-hypothesis framework; does not study proxy-view candidate-pool amplification."
"Best-of-Many Samples Objective for Generative Models","2018","CVPR","https://arxiv.org/abs/1712.01887","multi-hypothesis prediction","Uses best-of-many loss for stochastic prediction.","4","medium","Close in Best-of-many training, but our target is inference-time sparse-view selection."
"Multiple Hypothesis Prediction for 3D Human Pose Estimation","2019","ICCV","https://arxiv.org/abs/1910.01676","multi-hypothesis prediction","Represents ambiguity with multiple 3D pose hypotheses.","3","medium","Ambiguity and multi-sample selection; not scene world models or proxy exploitation."
"The Curious Case of Neural Text Degeneration","2020","ICLR","https://arxiv.org/abs/1904.09751","selection and decoding","Shows likelihood-based decoding can produce degenerate text.","2","low","Analogous selection pathology, but language not 3D geometry."
"Training Verifiers to Solve Math Word Problems","2021","arXiv","https://arxiv.org/abs/2110.14168","selection and verification","Uses verifier-selected samples for reasoning.","2","low","candidate-pool verifier analogy; no geometric hidden-region mechanism."
"Let's Verify Step by Step","2023","ICLR","https://arxiv.org/abs/2305.20050","selection and verification","Process supervision improves verifier-guided reasoning.","2","low","Verifier selection analogy, not 3D."
"Reward Model Ensembles Help Mitigate Overoptimization","2022","arXiv","https://arxiv.org/abs/2210.10760","selection and verification","Studies reward overoptimization and uncertainty.","4","medium","Strong conceptual threat: optimizing proxy rewards can overfit; our novelty is 3D sparse-view geometric mechanism and diagnostics."
"Learning to Summarize from Human Feedback","2020","NeurIPS","https://arxiv.org/abs/2009.01325","selection and reward models","Uses reward models and sample ranking for summaries.","2","low","Proxy overoptimization analogy only."
"On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?","2021","FAccT","https://dl.acm.org/doi/10.1145/3442188.3445922","model evaluation","Critiques benchmark and proxy limitations.","1","low","General proxy caution, not technical 3D scene analysis."
"Deep Ensembles: A Loss Landscape Perspective","2017","NeurIPS","https://arxiv.org/abs/1612.01474","uncertainty","Demonstrates ensembles improve uncertainty and robustness.","3","medium","Our repair uses ensemble consensus; this is a basis, not a subsuming 3D method."
"Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles","2017","NeurIPS","https://arxiv.org/abs/1612.01474","uncertainty","Popularizes deep ensembles for uncertainty estimates.","3","medium","Uncertainty mechanism is foundational; no sparse-view scene selection."
"Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning","2016","ICML","https://arxiv.org/abs/1506.02142","uncertainty","Monte Carlo dropout uncertainty.","2","low","Possible repair ingredient; not architecture-specific."
"What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision?","2017","NeurIPS","https://arxiv.org/abs/1703.04977","uncertainty","Separates epistemic and aleatoric uncertainty.","2","low","Uncertainty framing; no candidate-pool geometry."
"Calibrating Deep Neural Networks","2017","ICML","https://arxiv.org/abs/1706.04599","uncertainty","Temperature scaling for calibration.","2","low","Proxy calibration relevant but not sufficient for 3D hidden geometry."
"A Theory of Shape by Space Carving","2000","IJCV","https://link.springer.com/article/10.1023/A:1008191222954","visual hull and multiview geometry","Formalizes reconstructing shape from photo-consistency.","5","high","Hostile prior for silhouette ambiguity; our contribution applies that ambiguity to modern candidate-pool scene-world inference."
"Visual Hulls of Curved Objects","1998","ICCV","https://ieeexplore.ieee.org/document/710758","visual hull and multiview geometry","Analyzes visual hull approximations from silhouettes.","5","high","Directly establishes sparse-view ambiguity; does not study learned candidate selection or repair."
"Generalized Voxel Coloring","1999","ICCV","https://ieeexplore.ieee.org/document/790299","visual hull and multiview geometry","Voxel coloring for 3D reconstruction from images.","3","medium","Classic multiview reconstruction; not candidate-pool."
"Space Carving: Theory and Practice","1999","ICCV","https://ieeexplore.ieee.org/document/790598","visual hull and multiview geometry","Photo-consistency shape reconstruction.","4","medium","Relevant geometry theory; not neural world-model inference."
"Shape from Silhouette Across Time Part I: Theory and Algorithms","1996","IJCV","https://link.springer.com/article/10.1007/BF00128275","visual hull and multiview geometry","Time-varying silhouette reconstruction theory.","4","medium","Establishes ambiguity; no learned sparse proxy selection."
"Differentiable Volumetric Rendering: Learning Implicit 3D Representations without 3D Supervision","2020","CVPR","https://arxiv.org/abs/1912.07372","weakly supervised 3D","Learns implicit 3D with differentiable rendering.","4","medium","Projection-based supervision is close; no candidate-pool exploitation analysis."
"Unsupervised Learning of Probably Symmetric Deformable 3D Objects from Images in the Wild","2020","NeurIPS","https://arxiv.org/abs/1911.11130","weakly supervised 3D","Learns 3D shape from image collections with priors.","3","low","Uses priors to resolve ambiguity; not candidate reranking."
"Learning Single-View 3D Reconstruction with Limited Pose Supervision","2021","ECCV/arXiv","https://arxiv.org/abs/2104.06400","weakly supervised 3D","Single-view reconstruction under limited supervision.","3","low","Single-view ambiguity related; not candidate-pool."
"Mesh R-CNN","2019","ICCV","https://arxiv.org/abs/1906.02739","3D reconstruction","Predicts meshes from images in detection pipeline.","2","low","Reconstruction baseline, not world-model selection."
"Pix2Vox: Context-aware 3D Reconstruction from Single and Multi-view Images","2019","ICCV","https://arxiv.org/abs/1901.11153","3D reconstruction","Voxel reconstruction from one or more images.","3","medium","Sparse-view reconstruction threat; no N-dependent proxy selection."
"3D-R2N2: A Unified Approach for Single and Multi-view 3D Object Reconstruction","2016","ECCV","https://arxiv.org/abs/1604.00449","3D reconstruction","Recurrent voxel reconstruction from images.","3","medium","Classic multi-view voxel predictor; not candidate-pool."
"MVSNeRF: Fast Generalizable Radiance Field Reconstruction from Multi-view Stereo","2021","ICCV","https://arxiv.org/abs/2103.15595","few-view NeRF","Combines cost volumes with neural rendering.","4","medium","Strong sparse-view baseline; no sample-selection pathology."
"NeuS: Learning Neural Implicit Surfaces by Volume Rendering for Multi-view Reconstruction","2021","NeurIPS","https://arxiv.org/abs/2106.10689","neural surfaces","SDF surface learning with volume rendering.","3","low","Geometry quality method; not candidate-pool."
"VolSDF: Volume Rendering of Neural Implicit Surfaces","2021","NeurIPS","https://arxiv.org/abs/2106.12052","neural surfaces","Connects SDFs and volume rendering.","3","low","Surface representation; no selection."
"UNISURF: Unifying Neural Implicit Surfaces and Radiance Fields for Multi-view Reconstruction","2021","ICCV","https://arxiv.org/abs/2104.10078","neural surfaces","Unifies implicit surfaces and radiance fields.","3","low","Geometry representation only."
"MonoScene: Monocular 3D Semantic Scene Completion","2022","CVPR","https://arxiv.org/abs/2112.00726","3D scene completion","Semantic scene completion from one RGB image.","5","high","Hostile prior for hidden-scene completion; differs because it predicts one scene, not candidate-pool proxy-selected candidates."
"SSCNet: Semantic Scene Completion from a Single Depth Image","2017","CVPR","https://arxiv.org/abs/1611.08974","3D scene completion","Joint occupancy and semantic completion from depth.","4","medium","Hidden occupancy benchmark; no candidate reranking."
